item,itemLabel,metid,sitelinks,sitelink
http://www.wikidata.org/entity/Q7738501,The Gulf Stream,11122,6,https://en.wikipedia.org/wiki/The_Gulf_Stream_(painting)
http://www.wikidata.org/entity/Q19924227,"Coast Scene, Isles of Shoals",11032,1,"https://en.wikipedia.org/wiki/Coast_Scene,_Isles_of_Shoals"
http://www.wikidata.org/entity/Q19924434,Cannon Rock,11113,2,https://en.wikipedia.org/wiki/Cannon_Rock_(painting)
http://www.wikidata.org/entity/Q19924750,The Red Bridge,13184,2,https://en.wikipedia.org/wiki/The_Red_Bridge
http://www.wikidata.org/entity/Q6067009,The Way They Live,10080,2,https://en.wikipedia.org/wiki/The_Way_They_Live
http://www.wikidata.org/entity/Q7769468,The Titan's Goblet,10499,10,https://en.wikipedia.org/wiki/The_Titan%27s_Goblet
http://www.wikidata.org/entity/Q19923957,"Moonlight, Wood Island Light",11127,2,"https://en.wikipedia.org/wiki/Moonlight,_Wood_Island_Light"
http://www.wikidata.org/entity/Q20170768,The Spanish Girl in Reverie,10070,1,https://en.wikipedia.org/wiki/The_Spanish_Girl_in_Reverie
http://www.wikidata.org/entity/Q20174865,"Evening at Medfield, Massachusetts",11230,1,"https://en.wikipedia.org/wiki/Evening_at_Medfield,_Massachusetts"
http://www.wikidata.org/entity/Q29383342,Rough Waves,44918,6,https://en.wikipedia.org/wiki/Rough_Waves
http://www.wikidata.org/entity/Q1196533,The Chess Players,10813,13,https://en.wikipedia.org/wiki/The_Chess_Players_(Eakins)
http://www.wikidata.org/entity/Q19924868,The Aegean Sea,10480,2,https://en.wikipedia.org/wiki/The_Aegean_Sea
http://www.wikidata.org/entity/Q83639804,Indian Vase,13041,1,https://en.wikipedia.org/wiki/Indian_Vase
http://www.wikidata.org/entity/Q334604,Heart of the Andes,10481,14,https://en.wikipedia.org/wiki/The_Heart_of_the_Andes
http://www.wikidata.org/entity/Q19923916,The Parthenon,10482,4,https://en.wikipedia.org/wiki/The_Parthenon_(painting)
http://www.wikidata.org/entity/Q19924621,Young Mother Sewing,10425,4,https://en.wikipedia.org/wiki/Young_Mother_Sewing_(Mary_Cassatt)
http://www.wikidata.org/entity/Q20170852,The Ameya,10186,2,https://en.wikipedia.org/wiki/The_Ameya
http://www.wikidata.org/entity/Q2664039,Portrait of Madame X,12127,21,https://en.wikipedia.org/wiki/Portrait_of_Madame_X
http://www.wikidata.org/entity/Q20173369,Mr. and Mrs. I. N. Phelps Stokes,12140,6,https://en.wikipedia.org/wiki/Mr._and_Mrs._I._N._Phelps_Stokes
http://www.wikidata.org/entity/Q29383000,California,11790,4,https://en.wikipedia.org/wiki/California_(sculpture)
http://www.wikidata.org/entity/Q19923771,Approaching Thunder Storm,11050,4,https://en.wikipedia.org/wiki/Approaching_Thunder_Storm
http://www.wikidata.org/entity/Q20169737,Stage Fort across Gloucester Harbor,11396,1,https://en.wikipedia.org/wiki/Stage_Fort_across_Gloucester_Harbor
http://www.wikidata.org/entity/Q20171060,The Artist's Wife and His Setter Dog,10811,4,https://en.wikipedia.org/wiki/The_Artist%27s_Wife_and_His_Setter_Dog
http://www.wikidata.org/entity/Q20170430,"The Wyndham Sisters: Lady Elcho, Mrs. Adeane, and Mrs. Tennant",12477,9,"https://en.wikipedia.org/wiki/The_Wyndham_Sisters:_Lady_Elcho,_Mrs._Adeane,_and_Mrs._Tennant"
http://www.wikidata.org/entity/Q40432,The Horse Fair,435702,12,https://en.wikipedia.org/wiki/The_Horse_Fair
http://www.wikidata.org/entity/Q20167211,"Madame Jacques-Louis Leblanc (Françoise Poncelle, 1788–1839)",436703,5,https://en.wikipedia.org/wiki/Portrait_of_Madame_Jacques-Louis_Leblanc
http://www.wikidata.org/entity/Q7768767,The Thinker: Portrait of Louis N. Kenton,10827,2,https://en.wikipedia.org/wiki/The_Thinker:_Portrait_of_Louis_N._Kenton
http://www.wikidata.org/entity/Q20176070,Italian Hill Town,10657,1,https://en.wikipedia.org/wiki/Italian_Hill_Town_(Arthur_B._Davies)
http://www.wikidata.org/entity/Q19924267,Mrs. Beckington,10129,1,https://en.wikipedia.org/wiki/Mrs._Beckington_(Alice_Beckington)
http://www.wikidata.org/entity/Q19925426,Lady at the Tea Table,10391,6,https://en.wikipedia.org/wiki/Lady_at_the_Tea_Table
http://www.wikidata.org/entity/Q20170053,The Golden State Entering New York Harbor,11395,1,https://en.wikipedia.org/wiki/The_Golden_State_Entering_New_York_Harbor
http://www.wikidata.org/entity/Q20171155,A Basket of Clams,12388,4,https://en.wikipedia.org/wiki/A_Basket_of_Clams
http://www.wikidata.org/entity/Q20174564,Maine Coast,11126,2,https://en.wikipedia.org/wiki/Maine_Coast
http://www.wikidata.org/entity/Q3937410,Portrait of a Man,437825,11,"https://en.wikipedia.org/wiki/Portrait_of_a_Man_(Titian,_New_York)"
http://www.wikidata.org/entity/Q16950902,Beauty Revealed,14521,15,https://en.wikipedia.org/wiki/Beauty_Revealed
http://www.wikidata.org/entity/Q18619431,Northeaster,11130,2,https://en.wikipedia.org/wiki/Northeaster_(painting)
http://www.wikidata.org/entity/Q19923837,Woman Reading,14981,1,https://en.wikipedia.org/wiki/Woman_Reading_(Susan_Macdowell_Eakins)
http://www.wikidata.org/entity/Q19924008,Arab Woman,12031,5,https://en.wikipedia.org/wiki/Arab_Woman_(watercolor)
http://www.wikidata.org/entity/Q19925241,Alpine Pool,12028,2,https://en.wikipedia.org/wiki/Alpine_Pool
